"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"2","0.039443","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"3","0.247721","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"4","0.263070","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"5","0.366530","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=76 [TCP PDU reassembled in 1328]"
"6","0.424452","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=1 Ack=77 Win=5544 Len=0"
"7","0.464992","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"8","0.480755","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"9","0.530943","192.168.1.12","163.70.145.60","TCP","127","19948  >  5222 [PSH, ACK] Seq=77 Ack=1 Win=511 Len=73 [TCP PDU reassembled in 1328]"
"10","0.544392","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=1 Ack=150 Win=5544 Len=0"
"11","0.683086","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"12","0.739692","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"13","0.949194","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"14","0.966616","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"15","1.168948","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"16","1.186423","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"17","1.327575","192.168.1.12","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR PSINGH._dosvc._tcp.local SRV 0 0 7680 PSINGH.local TXT"
"18","1.328299","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","425","Standard query response 0x0000 PTR PSINGH._dosvc._tcp.local SRV 0 0 7680 PSINGH.local TXT"
"19","1.328766","192.168.1.12","224.0.0.251","MDNS","84","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"20","1.329771","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","104","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"21","1.591969","192.168.1.12","142.250.77.234","UDP","71","51620  >  443 Len=29"
"22","1.593047","192.168.1.12","224.0.0.251","MDNS","84","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"23","1.593696","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","104","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"24","1.611597","142.250.77.234","192.168.1.12","UDP","67","443  >  51620 Len=25"
"25","1.858414","192.168.1.12","224.0.0.251","MDNS","84","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"26","1.859297","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","104","Standard query 0x0000 ANY PSINGH._dosvc._tcp.local, ""QM"" question"
"27","1.886729","192.168.1.12","163.70.145.60","TCP","130","19948  >  5222 [PSH, ACK] Seq=150 Ack=1 Win=511 Len=76 [TCP PDU reassembled in 1328]"
"28","1.965349","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=1 Ack=226 Win=5544 Len=0"
"29","2.125225","192.168.1.12","224.0.0.251","MDNS","461","Standard query response 0x0000 PTR, cache flush PSINGH._dosvc._tcp.local SRV, cache flush 0 0 7680 PSINGH.local TXT, cache flush A, cache flush 192.168.1.12 AAAA, cache flush fe80::f8b5:319c:7a72:d96"
"30","2.126075","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","481","Standard query response 0x0000 PTR, cache flush PSINGH._dosvc._tcp.local SRV, cache flush 0 0 7680 PSINGH.local TXT, cache flush A, cache flush 192.168.1.12 AAAA, cache flush fe80::f8b5:319c:7a72:d96"
"31","2.126640","192.168.1.12","224.0.0.251","MDNS","406","Standard query response 0x0000 SRV, cache flush 0 0 7680 PSINGH.local TXT, cache flush A, cache flush 192.168.1.12 AAAA, cache flush fe80::f8b5:319c:7a72:d96"
"32","2.127281","fe80::f8b5:319c:7a72:d96","ff02::fb","MDNS","426","Standard query response 0x0000 SRV, cache flush 0 0 7680 PSINGH.local TXT, cache flush A, cache flush 192.168.1.12 AAAA, cache flush fe80::f8b5:319c:7a72:d96"
